Time (s), Position (m)_1, Position (m)_2, Velocity (m/s)_1, Velocity (m/s)_2, Force (N)_1, Force (N)_2, InteractionForce (N)_1, InteractionForce (N)_2, StateCode, Phase, Trial, TargetX (m), TargetHalfWidth (m)
Time (s), Position (m)_1, Position (m)_2, Velocity (m/s)_1, Velocity (m/s)_2, Force (N)_1, Force (N)_2, InteractionForce (N)_1, InteractionForce (N)_2, StateCode, Phase, Trial, TargetX (m), TargetHalfWidth (m)
0.022690, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.024690, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, -0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.026691, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.028692, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.030692, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.032691, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.034691, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.036691, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, -0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.038691, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.040693, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.042695, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.044693, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, -0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.046697, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.048694, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, -0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.050693, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.052693, 0.565214, 0.000023, 0.000000, 0.000000, 0.688732, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.054693, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.056694, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, -0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.058695, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.060694, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.062695, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, -0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.064695, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.066696, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.068696, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.070695, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.072695, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.074697, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.076699, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.078698, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.080697, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.082697, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.084697, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.086697, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.088697, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.090698, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, -0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.092698, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.094698, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.096698, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.098698, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.100698, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.102698, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.104698, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.106699, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.108699, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.110699, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.112699, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.114699, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.116699, 0.565214, 0.000023, 0.000000, 0.000000, 0.000000, -0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.118699, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.120699, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.122700, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.124700, 0.565214, 0.000023, 0.000000, 0.000000, 0.344366, 0.000000, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
