trial,csv_line,D_file,W_file,ID_fitts_bits,ID_shannon_bits,x_home_m,x_target_m,tolerance_m,x_start_m,D_effective_m,outcome,success,rt_kinematic_s,mt_first_entry_s,mt_final_entry_s,mt_first_entry_kin_s,mt_final_entry_kin_s,task_time_s,n_entries,peak_speed_x_mps,t_peak_speed_x_s,overshoot_m,endpoint_error_m,y_max_dev_m,sat_fraction,dt_mean_ms,dt_max_ms,samples,wall_clock,note
1,2,8.000000,0.888889,4.169925,3.321928,0.400000,0.320000,0.004444,0.395682,0.075682,success,1,0.007962,0.268000,0.268000,0.260038,0.260038,1.268071,1,0.444059,0.129993,0.000000,-0.001029,0.003885,0.0820,2.000,2.028,634,2026-09-11T19:03:09.197,
2,3,12.000000,1.333333,4.169925,3.321928,0.400000,0.280000,0.006667,0.400792,0.120792,success,1,0.007997,0.314008,0.314008,0.306011,0.306011,1.314070,1,0.618684,0.180001,0.000000,-0.001286,0.003809,0.1218,2.000,2.017,657,2026-09-11T19:03:11.857,
3,4,27.000000,1.333333,5.339850,4.409391,0.400000,0.130000,0.006667,0.400799,0.270799,success,1,0.007989,0.474022,0.474022,0.466033,0.466033,1.474149,1,0.945449,0.326014,0.000000,-0.000633,0.003734,0.2483,2.000,2.021,737,2026-09-11T19:03:14.973,
4,5,30.375000,1.000000,5.924813,4.971544,0.400000,0.096250,0.005000,0.400201,0.303951,success,1,0.005992,0.514031,0.514031,0.508039,0.508039,1.514133,1,0.991454,0.354016,0.000299,0.000121,0.003647,0.2695,2.000,2.023,757,2026-09-11T19:03:19.750,
5,6,8.000000,0.888889,4.169925,3.321928,0.400000,0.320000,0.004444,0.400159,0.080159,success,1,0.007994,0.272005,0.272005,0.264011,0.264011,1.272068,1,0.468241,0.141998,0.000000,-0.001093,0.003594,0.0865,2.000,2.010,636,2026-09-11T19:03:24.914,
6,7,15.187500,0.500000,5.924813,4.971544,0.400000,0.248125,0.002500,0.400205,0.152080,success,1,0.007994,0.396039,0.396039,0.388045,0.388045,1.396093,1,0.717668,0.214029,0.000000,-0.000027,0.003582,0.1418,2.000,2.028,698,2026-09-11T19:03:27.586,
7,8,12.000000,0.888889,4.754887,3.857981,0.400000,0.280000,0.004444,0.400742,0.120742,success,1,0.007993,0.328008,0.328008,0.320015,0.320015,1.328065,1,0.622324,0.180000,0.000000,-0.001135,0.003541,0.1205,2.000,2.017,664,2026-09-11T19:03:31.097,
8,9,12.000000,2.000000,3.584963,2.807355,0.400000,0.280000,0.010000,0.400405,0.120405,success,1,0.007993,0.294008,0.294008,0.286015,0.286015,1.294091,1,0.623504,0.180002,0.000000,-0.001154,0.003518,0.1236,2.000,2.035,647,2026-09-11T19:03:34.233,
9,10,27.000000,1.333333,5.339850,4.409391,0.400000,0.130000,0.006667,0.400122,0.270122,success,1,0.005988,0.472014,0.472014,0.466026,0.466026,1.472079,1,0.946404,0.324006,0.000161,-0.000096,0.003495,0.2446,2.000,2.010,736,2026-09-11T19:03:37.333,
10,11,8.000000,1.333333,3.584963,2.807355,0.400000,0.320000,0.006667,0.400140,0.080140,success,1,0.005989,0.252038,0.252038,0.246049,0.246049,1.252104,1,0.465475,0.140031,0.000000,-0.000295,0.003457,0.0847,2.000,2.021,626,2026-09-11T19:03:42.116,
11,12,18.000000,2.000000,4.169925,3.321928,0.400000,0.220000,0.010000,0.400118,0.180118,success,1,0.005989,0.366022,0.366022,0.360033,0.360033,1.366168,1,0.775866,0.234003,0.000028,-0.000222,0.003450,0.1654,2.000,2.042,683,2026-09-11T19:03:44.778,
12,13,12.000000,2.000000,3.584963,2.807355,0.400000,0.280000,0.010000,0.400443,0.120443,success,1,0.007994,0.294005,0.294005,0.286011,0.286011,1.294077,1,0.624657,0.179999,0.000000,-0.001195,0.003435,0.1236,2.000,2.008,647,2026-09-11T19:03:48.554,
13,14,27.000000,2.000000,4.754888,3.857981,0.400000,0.130000,0.010000,0.400557,0.270557,success,1,0.008010,0.450050,0.450050,0.442040,0.442040,1.450239,1,0.956596,0.324022,0.000000,-0.000198,0.003420,0.2566,2.000,2.072,725,2026-09-11T19:03:51.653,
14,15,15.187500,0.500000,5.924813,4.971544,0.400000,0.248125,0.002500,0.400784,0.152659,success,1,0.008008,0.392014,0.392014,0.384006,0.384006,1.392076,1,0.727603,0.218004,0.000000,-0.000651,0.003378,0.1437,2.000,2.026,696,2026-09-11T19:03:56.401,
15,16,15.000000,2.500000,3.584963,2.807355,0.400000,0.250000,0.012500,0.400451,0.150451,success,1,0.005989,0.320011,0.320011,0.314022,0.314022,1.320079,1,0.714833,0.214005,0.000000,-0.000483,0.003355,0.1455,2.000,2.020,660,2026-09-11T19:03:59.907,
16,17,8.000000,1.333333,3.584963,2.807355,0.400000,0.320000,0.006667,0.400159,0.080159,success,1,0.005984,0.252022,0.252022,0.246038,0.246038,1.252094,1,0.466630,0.140016,0.000000,-0.000314,0.003348,0.0847,2.000,2.016,626,2026-09-11T19:04:03.332,
17,18,27.000000,1.333333,5.339850,4.409391,0.400000,0.130000,0.006667,0.400209,0.270209,success,1,0.005988,0.466046,0.466046,0.460058,0.460058,1.466158,1,0.956735,0.322029,0.000313,-0.000005,0.003348,0.2510,2.000,2.018,733,2026-09-11T19:04:05.988,
18,19,8.000000,0.888889,4.169925,3.321928,0.400000,0.320000,0.004444,0.400489,0.080489,success,1,0.005991,0.268005,0.268005,0.262014,0.262014,1.268076,1,0.469300,0.125998,0.000000,-0.000200,0.003333,0.0836,2.000,2.010,634,2026-09-11T19:04:10.762,
19,20,20.250000,1.000000,5.339850,4.409391,0.400000,0.197500,0.005000,0.400530,0.203030,success,1,0.007996,0.416241,0.416241,0.408245,0.408245,1.416376,1,0.834881,0.264193,0.000303,0.000091,0.003329,0.1955,2.006,4.003,706,2026-09-11T19:04:13.452,
20,21,8.000000,1.333333,3.584963,2.807355,0.400000,0.320000,0.006667,0.400848,0.080848,success,1,0.007989,0.250006,0.250006,0.242017,0.242017,1.250109,1,0.475891,0.145999,0.000000,-0.000995,0.003310,0.0864,2.000,2.023,625,2026-09-11T19:04:17.521,
21,22,30.375000,1.000000,5.924813,4.971544,0.400000,0.096250,0.005000,0.400621,0.304371,success,1,0.007993,0.490019,0.490019,0.482026,0.482026,1.490121,1,1.025206,0.344011,0.001590,0.001336,0.003310,0.2872,2.000,2.026,745,2026-09-11T19:04:20.161,
22,23,18.000000,1.333333,4.754888,3.857981,0.400000,0.220000,0.006667,0.400167,0.180167,success,1,0.005991,0.380014,0.380014,0.374023,0.374023,1.380146,1,0.783729,0.232004,0.000000,-0.000237,0.003287,0.1667,2.000,2.019,690,2026-09-11T19:04:25.308,
23,24,27.000000,0.888889,5.924812,4.971543,0.400000,0.130000,0.004444,0.400156,0.270156,success,1,0.005989,0.472016,0.472016,0.466027,0.466027,1.472071,1,0.966985,0.318008,0.000476,0.000150,0.003283,0.2500,2.000,2.024,736,2026-09-11T19:04:29.098,
24,25,15.000000,2.500000,3.584963,2.807355,0.400000,0.250000,0.012500,0.400443,0.150443,success,1,0.007992,0.318007,0.318007,0.310015,0.310015,1.318062,1,0.725743,0.218002,0.000000,-0.001025,0.003276,0.1533,2.000,2.009,659,2026-09-11T19:04:33.882,
25,26,18.000000,0.888889,5.339850,4.409391,0.400000,0.220000,0.004444,0.400761,0.180761,success,1,0.007991,0.394021,0.394021,0.386030,0.386030,1.394143,1,0.795000,0.236003,0.000000,-0.000827,0.003272,0.1779,2.000,2.027,697,2026-09-11T19:04:37.313,
26,27,27.000000,2.000000,4.754888,3.857981,0.400000,0.130000,0.010000,0.399709,0.269709,success,1,0.007990,0.444014,0.444014,0.436024,0.436024,1.444091,1,0.972646,0.320007,0.000513,0.000192,0.003261,0.2673,2.000,2.021,722,2026-09-11T19:04:41.139,
