trial,csv_line,D_file,W_file,ID_fitts_bits,ID_shannon_bits,x_home_m,x_target_m,tolerance_m,x_start_m,D_effective_m,outcome,success,rt_kinematic_s,mt_first_entry_s,mt_final_entry_s,mt_first_entry_kin_s,mt_final_entry_kin_s,task_time_s,n_entries,peak_speed_x_mps,t_peak_speed_x_s,overshoot_m,endpoint_error_m,y_max_dev_m,sat_fraction,dt_mean_ms,dt_max_ms,samples,wall_clock,note
22,23,18.000000,1.333333,4.754888,3.857981,0.400000,0.220000,0.006667,0.399940,0.179940,success,1,0.007994,0.374011,0.374011,0.366017,0.366017,1.374064,1,0.791787,0.252005,0.000000,-0.000366,0.003382,0.1936,2.000,2.005,687,2026-09-11T18:49:13.873,
23,24,27.000000,0.888889,5.924812,4.971543,0.400000,0.130000,0.004444,0.400193,0.270193,success,1,0.007996,0.462015,0.462015,0.454019,0.454019,1.462069,1,0.958930,0.334008,0.002236,0.001588,0.003370,0.2791,2.000,2.023,731,2026-09-11T18:49:17.689,
24,25,15.000000,2.500000,3.584963,2.807355,0.400000,0.250000,0.012500,0.399849,0.149849,success,1,0.007990,0.316009,0.316009,0.308019,0.308019,1.316079,1,0.725109,0.214003,0.000000,-0.000453,0.003344,0.1596,2.000,2.024,658,2026-09-11T18:49:22.480,
25,26,18.000000,0.888889,5.339850,4.409391,0.400000,0.220000,0.004444,0.399626,0.179626,success,1,0.007991,0.386011,0.386011,0.378020,0.378020,1.386120,1,0.789438,0.250003,0.000000,-0.000309,0.003336,0.1919,2.000,2.031,693,2026-09-11T18:49:25.932,
26,27,27.000000,2.000000,4.754888,3.857981,0.400000,0.130000,0.010000,0.400152,0.270152,success,1,0.005989,0.440024,0.440024,0.434035,0.434035,1.440117,1,0.967349,0.324008,0.002012,0.001622,0.003333,0.2778,2.000,2.017,720,2026-09-11T18:49:29.726,
27,28,18.000000,1.333333,4.754888,3.857981,0.400000,0.220000,0.006667,0.400163,0.180163,success,1,0.005991,0.370013,0.370013,0.364022,0.364022,1.370072,1,0.795400,0.248005,0.000000,-0.000282,0.003325,0.1854,2.000,2.039,685,2026-09-11T18:49:34.495,
28,29,12.000000,0.888889,4.754887,3.857981,0.400000,0.280000,0.004444,0.400345,0.120345,success,1,0.007989,0.314008,0.314008,0.306019,0.306019,1.314082,1,0.635388,0.180000,0.000000,-0.000976,0.003321,0.1279,2.000,2.015,657,2026-09-11T18:49:38.255,
29,30,20.250000,1.000000,5.339850,4.409391,0.400000,0.197500,0.005000,0.400568,0.203068,success,1,0.007994,0.398011,0.398011,0.390017,0.390017,1.398084,1,0.846883,0.270004,0.000163,0.000045,0.003310,0.2189,2.000,2.022,699,2026-09-11T18:49:41.375,
30,31,12.000000,0.888889,4.754887,3.857981,0.400000,0.280000,0.004444,0.400375,0.120375,success,1,0.007994,0.314007,0.314007,0.306013,0.306013,1.314070,1,0.635859,0.181999,0.000000,-0.001036,0.003306,0.1294,2.000,2.016,657,2026-09-11T18:49:45.394,
31,32,18.000000,2.000000,4.169925,3.321928,0.400000,0.220000,0.010000,0.400455,0.180455,success,1,0.007994,0.352009,0.352009,0.344015,0.344015,1.352126,1,0.801484,0.254004,0.000160,-0.000146,0.003298,0.1982,2.000,2.020,676,2026-09-11T18:49:48.496,
32,33,18.000000,1.333333,4.754888,3.857981,0.400000,0.220000,0.006667,0.400171,0.180171,success,1,0.005989,0.368019,0.368019,0.362030,0.362030,1.368072,1,0.803217,0.248012,0.000115,-0.000059,0.003295,0.1886,2.000,2.015,684,2026-09-11T18:49:52.254,
33,34,12.000000,1.333333,4.169925,3.321928,0.400000,0.280000,0.006667,0.400144,0.120144,success,1,0.005989,0.299852,0.299852,0.293863,0.293863,1.299918,1,0.634941,0.177768,0.000000,-0.000245,0.003291,0.1221,2.009,4.057,647,2026-09-11T18:49:56.035,
