index,A,W,ID,alpha
131,8.0,1.333333,2.807,0.0
132,12.0,2.0,2.807,0.0
133,30.375,1.0,4.972,0.8233298159064814
134,15.1875,0.5,4.972,0.8233298159064814
135,15.0,2.5,2.807,0.0
136,27.0,2.0,3.858,0.5912206183241312
137,30.375,1.0,4.972,0.8233298159064814
138,8.0,1.333333,2.807,0.0
139,18.0,1.333333,3.858,0.5912206183241312
140,15.0,2.5,2.807,0.0
141,20.25,1.0,4.409,0.7285017705419669
142,8.0,0.888889,3.322,0.3765188878699423
143,18.0,1.333333,3.858,0.5912206183241312
144,18.0,2.0,3.322,0.3765188878699423
145,8.0,1.333333,2.807,0.0
146,12.0,0.888889,3.858,0.5912206183241312
147,12.0,2.0,2.807,0.0
148,8.0,1.333333,2.807,0.0
149,8.0,0.888889,3.322,0.3765188878699423
150,27.0,0.888889,4.972,0.8233298159064814
151,15.1875,0.5,4.972,0.8233298159064814
152,27.0,1.333333,4.409,0.7285017705419669
153,15.0,2.5,2.807,0.0
154,12.0,2.0,2.807,0.0
155,20.25,1.0,4.409,0.7285017705419669
156,15.1875,0.5,4.972,0.8233298159064814
157,18.0,0.888889,4.409,0.7285017705419669
158,12.0,1.333333,3.322,0.3765188878699423
159,18.0,2.0,3.322,0.3765188878699423
160,12.0,0.888889,3.858,0.5912206183241312
161,15.1875,0.5,4.972,0.8233298159064814
162,27.0,2.0,3.858,0.5912206183241312
163,27.0,0.888889,4.972,0.8233298159064814
164,27.0,1.333333,4.409,0.7285017705419669
165,18.0,0.888889,4.409,0.7285017705419669
166,27.0,1.333333,4.409,0.7285017705419669
167,12.0,2.0,2.807,0.0
168,30.375,1.0,4.972,0.8233298159064814
169,8.0,0.888889,3.322,0.3765188878699423
170,18.0,0.888889,4.409,0.7285017705419669
171,27.0,2.0,3.858,0.5912206183241312
172,27.0,0.888889,4.972,0.8233298159064814
173,12.0,1.333333,3.322,0.3765188878699423
174,20.25,1.0,4.409,0.7285017705419669
175,12.0,1.333333,3.322,0.3765188878699423
176,15.0,2.5,2.807,0.0
177,18.0,1.333333,3.858,0.5912206183241312
178,12.0,0.888889,3.858,0.5912206183241312
179,30.375,1.0,4.972,0.8233298159064814
180,18.0,2.0,3.322,0.3765188878699423
