ID,MT_h,MT_r,alpha
2.807,0.49583667669287723,0.3017817884668023,0.0
3.322,0.604497312383099,0.353010023351938,0.3473654399543309
3.858,0.7175887701111745,0.4063271765527782,0.6439903112804056
4.409,0.8338451007234312,0.461136414264836,0.8497408100327352
4.972,0.9526333296430329,0.5171393195858678,1.0
